A20 limite concession
0	BRIVE OUEST
1	1	Mansac Terrasson
3,2	3,2	3,2	La Bachellerie
7,9	7,9	7,9	0	Gare de Péage de Thenon
0	0	0	0	0	Thenon  Est
7,9	7,9	7,9	0	7,9	4,2	Périgueux Est
7,9	7,9	7,9	0	7,9	4,2	0	Périgueux Sud
7,9	7,9	7,9	0	7,9	4,2	0	0	Périgueux Ouest
0	0	0	0	0	0	0	0	0	Péage de Mussidan
0	0	0	0	0	0	0	0	0	0	Mussidan Est
11,3	11,3	11,3	0	11,3	7,6	3,4	3,4	3,4	3,4	0,7	13 Mussidan Sud
13,2	13,2	13,2	0	13,2	9,5	5,3	5,3	5,3	5,3	2,9	1,7	Gare de Péage de Ménéstérol
16	16	16	0	16	12,3	8,1	8,1	8,1	8,1	5	4	2	Gare de Péage de Coutras
16,8	16,8	16,8	0	16,8	13,1	8,9	8,9	8,9	8,9	6,5	5,5	3,3	1,4	Libourne Nord
18,5	18,5	18,5	0	18,5	14,8	10,6	10,6	10,6	10,6	8,4	7,2	4,6	2,6	1,2	Péage d'Arveyres
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Libourne Ouest
18,5	18,5	18,5	0	18,5	14,8	10,6	10,6	10,6	10,6	8,4	7,2	4,6	2,6	1,2	0	0	Bordeaux
