Moulis
0	Parages
0	0	La Molle
0	0	0	Sapiac
0	0	0	0	Beausoleil
0	0	0	0	0	Chaumes
0	0	0	0	0	0	ZI Nord
0	0	0	0	0	0	0	Montauban Nord
0	0	0	0	0	0	0	0	Péage de Montauban Nord
1,6	1,6	1,6	1,6	1,6	1,6	1,6	1,6	1,6	Caussade
3,9	3,9	3,9	3,9	3,9	3,9	3,9	3,9	3,9	2,1	Cahors sud
6,6	6,6	6,6	6,6	6,6	6,6	6,6	6,6	6,6	4,6	2,2	Cahors nord
9,1	9,1	9,1	9,1	9,1	9,1	9,1	9,1	9,1	6,7	4,6	2,1	Labastide Murat
11,7	11,7	11,7	11,7	11,7	11,7	11,7	11,7	11,7	9	6,9	4,6	2,5	Souillac
13,7	13,7	13,7	13,7	13,7	13,7	13,7	13,7	13,7	11,7	9,3	7	5	2,1	Péage de Gignac
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Martel
13,7	13,7	13,7	13,7	13,7	13,7	13,7	13,7	13,7	11,7	9,3	7	5	2,1	0	0,7	Nespouls
