MANZAT
1,8	VULCANIA-BROMONT
4,3	2,1	ST JULIEN / SANCY
7,2	4,5	2,4	USSEL EST
8,7	6,7	4,2	1,5	USSEL OUEST
11,5	9,2	7,4	4,1	2,3	EGLETONS
14	11,7	9,7	6,3	4,6	1,6	TULLE EST
14,7	12,3	10,5	7,1	5,2	2,5	0,7	TULLE NORD
17,5	14,7	13,7	9,3	8	4,6	2,1	1,4	ST GERMAIN LES VERGNES
