LE PALAYS
0	MONTAUDRAN
0	0	LASBORDES
0	0	0	SOUPETARD
0	0	0	0	LA ROSERAIE
0	0	0	0	0	LA CROIX DAURADE
0	0	0	0	0	0	BORDEROUGE
0	0	0	0	0	0	0	LES IZARDS
0	0	0	0	0	0	0	0	TOULOUSE NORD/EST
0	0	0	0	0	0	0	0	0	SESQUIERES
0	0	0	0	0	0	0	0	0	0	TOULOUSE NORD/OUEST
1,1	1,1	1,1	1,1	1,1	1,1	1,1	0	1,1	0,8	0,8	SAINT-JORY
1,8	1,8	1,8	1,8	1,8	1,8	1,8	0	1,8	1,3	1,3	0,7	SAINT-JORY EUROCENTRE
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	MONTAUBAN NORD
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	A20 61 ZI NORD
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	CHAUMES
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	BEAUSOLEIL
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	0	SAPIAC
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	0	0	LA MOLLE
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	0	0	0	PARAGES
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	0	0	0	0	MOULIS
3,8	3,8	3,8	3,8	3,8	3,8	3,8	0	3,8	3,1	3,1	2,5	1,7	0	0	0	0	0	0	0	0	MONTAUBAN SUD
6,5	6,5	6,5	6,5	6,5	6,5	6,5	0	6,5	5,8	5,8	4,6	3,9	2,1	2,1	2,1	2,1	2,1	2,1	2,1	2,1	2,1	CASTELSARRASIN
8,5	8,5	8,5	8,5	8,5	8,5	8,5	0	8,5	7,8	7,8	6,6	5,8	4,1	4,1	4,1	4,1	4,1	4,1	4,1	4,1	4,1	1,7	VALENCE-D'AGEN
11,4	11,4	11,4	11,4	11,4	11,4	11,4	0	11,4	10,7	10,7	10,1	9,2	7	7	7	7	7	7	7	7	7	4,3	2,2	AGEN
12,4	12,4	12,4	12,4	12,4	12,4	12,4	0	12,4	11,7	11,7	11,1	10,1	7,9	7,9	7,9	7,9	7,9	7,9	7,9	7,9	7,9	5,1	2,8	0,5	AGEN OUEST
