X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
PAMIERS SUD	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	28	27,5	25,8	25,2	25,1	23,4	22,5	21,5	20,2	19,3	19,1	18,4	17,5	16	15,8	15,9	16,2	17,6	14,6	14,5
MONTGISCARD	29,5	29,5	29,5	29,5	29,5	29,5	29,5	29,5	29,5	29,5	27,3	26,8	24,9	24,4	24,3	22,5	21,8	20,5	19,4	17,9	17,8	17,4	16,5	15,1	14,8	14,9	15,1	16,7	13,7	13,4
PEAGE DE TOULOUSE SUD/OUEST	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	28,4	27,9	26,1	25,5	25,4	23,6	22,9	21,7	20,5	19	18,9	18,5	17,7	16,2	15,8	16	16,3	17,8	14,8	14,5
LE PALAYS	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	30,7	28,4	27,9	26,1	25,5	25,4	23,6	22,9	21,7	20,5	19	18,9	18,5	17,7	16,2	15,8	16	16,3	17,8	14,8	14,5
PEAGE DE TOULOUSE SUD/EST	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
MONTAUDRAN	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
LASBORDES	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
SOUPETARD	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
LA ROSERAIE	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
LA CROIX DAURADE	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
BORDEROUGE	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
LES IZARDS	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
SESQUIERES	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	31,1	28,8	28,3	26,5	25,9	25,8	24	23,3	22,1	20,9	19,4	19,3	18,9	18,1	16,6	16,2	16,4	16,7	18,2	15,2	14,9
