X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
JARNY	55,8	54,4	54	52,4	50,8	49,4	48,1	46,5	45,2
BEAUMONT	57,1	55,7	55,3	53,7	52,1	50,7	49,4	47,8	46,5
GYE	53,6	52,2	51,8	50,2	48,6	47,2	45,9	44,3	43
COLOMBEY-LES-BELLES	52,4	51	50,6	49	47,4	46	44,7	43,1	41,8
CHATENOIS SUD	51,3	49,9	49,5	47,9	46,3	44,9	43,6	42	40,7
BULGNEVILLE	50,7	49,3	48,9	47,3	45,7	44,3	43	41,4	40,1
ROBECOURT	50	48,6	48,2	46,6	45	43,6	42,3	40,7	39,4
MONTIGNY-LE-ROI	49	47,6	47,2	45,6	44	42,6	41,3	39,7	38,4
LANGRES NORD	47,9	46,5	46,1	44,5	42,9	41,5	40,2	38,6	37,3
LANGRES SUD	48,6	47,2	46,8	45,2	43,6	42,2	40,9	39,3	38
TIL-CHATEL	49,8	48,4	48	46,4	44,8	43,4	42,1	40,5	39,2
DIJON/ARC-SUR- TILLE	51,6	50,2	49,8	48,2	46,6	45,2	43,9	42,3	41
DIJON SUD	50,5	49,1	48,7	47,1	45,5	44,1	42,8	41,2	39,9
NUITS-ST-GEORGES	49,7	48,3	47,9	46,3	44,7	43,3	42	40,4	39,1
SEURRE	50,3	48,9	48,5	46,9	45,3	43,9	42,6	41	39,7
DÔLE	51,8	50,4	50	48,4	46,8	45,4	44,1	42,5	41,2
GENDREY	52,7	51,3	50,9	49,3	47,7	46,3	45	43,4	42,1
BESANÇON OUEST	53,7	52,3	51,9	50,3	48,7	47,3	46	44,4	43,1
BESANÇON NORD	53,8	52,4	52	50,4	48,8	47,4	46,1	44,5	43,2
BESANÇON EST	54,2	52,8	52,4	50,8	49,2	47,8	46,5	44,9	43,6
BAUME-LES-DAMES	55,9	54,5	54,1	52,5	50,9	49,5	48,2	46,6	45,3
L’ISLE-SUR-LE-DOUBS	56,6	55,2	54,8	53,2	51,6	50,2	48,9	47,3	46
SAINT-MAURICE	59,6	58,2	57,8	56,2	54,6	53,2	51,9	50,3	49
DIJON-CRIMOLOIS	51,3	49,9	49,5	47,9	46,3	44,9	43,6	42	40,7
SOIRANS	51,7	50,3	49,9	48,3	46,7	45,3	44	42,4	41,1
CHOISEY	51,8	50,4	50	48,4	46,8	45,4	44,1	42,5	41,2
BERSAILLIN	53,6	52,2	51,8	50,2	48,6	47,2	45,9	44,3	43
ARLAY	53,7	52,3	51,9	50,3	48,7	47,3	46	44,4	43,1
BEAUREPAIRE	54,4	53	52,6	51	49,4	48	46,7	45,1	43,8
LE MIROIR	55,3	53,9	53,5	51,9	50,3	48,9	47,6	46	44,7
BEAUPONT	56,1	54,7	54,3	52,7	51,1	49,7	48,4	46,8	45,5
VAL DE SAONE	57	55,6	55,2	53,6	52	50,6	49,3	47,7	46,4
MÂCON CENTRE	53,5	52,1	51,7	50,1	48,5	47,1	45,8	44,2	42,9
FEILLENS	53,5	52,1	51,7	50,1	48,5	47,1	45,8	44,2	42,9
REPLONGES	53,5	52,1	51,7	50,1	48,5	47,1	45,8	44,2	42,9
ST-GENIS	55,8	54,4	54	52,4	50,8	49,4	48,1	46,5	45,2
BOURG NORD	54,8	53,4	53	51,4	49,8	48,4	47,1	45,5	44,2
VIRIAT	55,5	54,1	53,7	52,1	50,5	49,1	47,8	46,2	44,9
BOURG SUD	56,1	54,7	54,3	52,7	51,1	49,7	48,4	46,8	45,5
ST-MARTIN-DU-FRESNE	58,7	57,3	56,9	55,3	53,7	52,3	51	49,4	48,1
SYLANS SUD	59	57,6	57,2	55,6	54	52,6	51,3	49,7	48,4
BELLEGARDE	61,3	59,9	59,5	57,9	56,3	54,9	53,6	52	50,7
ELOISE	62,3	60,9	60,5	58,9	57,3	55,9	54,6	53	51,7
VIRY	65	63,6	63,2	61,6	60	58,6	57,3	55,7	54,4
LA CROIX-CHALON	58,7	57,3	56,9	55,3	53,7	52,3	51	49,4	48,1
GROISSIAT	59,8	58,4	58	56,4	54,8	53,4	52,1	50,5	49,2
PONT-D’AIN	56,7	55,3	54,9	53,3	51,7	50,3	49	47,4	46,1
AMBÉRIEU	57,3	55,9	55,5	53,9	52,3	50,9	49,6	48	46,7
PÉROUGES	57,9	56,5	56,1	54,5	52,9	51,5	50,2	48,6	47,3
BALAN	57,9	56,5	56,1	54,5	52,9	51,5	50,2	48,6	47,3
LA BOISE/MONTUEL	58,9	57,5	57,1	55,5	53,9	52,5	51,2	49,6	48,3
BEYNOST	59,6	58,2	57,8	56,2	54,6	53,2	51,9	50,3	49
LA COTIERE	59,5	58,1	57,7	56,1	54,5	53,1	51,8	50,2	48,9
LA BOISSE	60,4	59	58,6	57	55,4	54	52,7	51,1	49,8
