X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
FRESNES-EN-WOEVRE	95,5	93,7	92,9	90,1	87,3	85,2	82,4	80	77,7
JARNY	97,1	95,3	94,5	91,7	88,9	86,8	84	81,6	79,3
BEAUMONT	100,6	98,8	98	95,2	92,4	90,3	87,5	85,1	82,8
GYE	94,1	92,3	91,5	88,7	85,9	83,8	81	78,6	76,3
COLOMBEY-LES-BELLES	91,9	90,1	89,3	86,5	83,7	81,6	78,8	76,4	74,1
CHATENOIS SUD	89,2	87,4	86,6	83,8	81	78,9	76,1	73,7	71,4
BULGNEVILLE	88,8	87	86,2	83,4	80,6	78,5	75,7	73,3	71
ROBECOURT	87,3	85,5	84,7	81,9	79,1	77	74,2	71,8	69,5
MONTIGNY-LE-ROI	85,7	83,9	83,1	80,3	77,5	75,4	72,6	70,2	67,9
LANGRES NORD	84	82,2	81,4	78,6	75,8	73,7	70,9	68,5	66,2
LANGRES SUD	84,8	83	82,2	79,4	76,6	74,5	71,7	69,3	67
TIL-CHATEL	87,2	85,4	84,6	81,8	79	76,9	74,1	71,7	69,4
DIJON/ARC-SUR- TILLE	89,9	88,1	87,3	84,5	81,7	79,6	76,8	74,4	72,1
DIJON SUD	88,4	86,6	85,8	83	80,2	78,1	75,3	72,9	70,6
NUITS-ST-GEORGES	86,7	84,9	84,1	81,3	78,5	76,4	73,6	71,2	68,9
SEURRE	87,9	86,1	85,3	82,5	79,7	77,6	74,8	72,4	70,1
DÔLE	90,3	88,5	87,7	84,9	82,1	80	77,2	74,8	72,5
GENDREY	91,4	89,6	88,8	86	83,2	81,1	78,3	75,9	73,6
BESANÇON OUEST	93,9	92,1	91,3	88,5	85,7	83,6	80,8	78,4	76,1
BESANÇON NORD	93,9	92,1	91,3	88,5	85,7	83,6	80,8	78,4	76,1
BESANÇON EST	93,9	92,1	91,3	88,5	85,7	83,6	80,8	78,4	76,1
BAUME-LES-DAMES	96,6	94,8	94	91,2	88,4	86,3	83,5	81,1	78,8
L’ISLE-SUR-LE-DOUBS	98,1	96,3	95,5	92,7	89,9	87,8	85	82,6	80,3
SAINT-MAURICE	102,5	100,7	99,9	97,1	94,3	92,2	89,4	87	84,7
DIJON-CRIMOLOIS	89,1	87,3	86,5	83,7	80,9	78,8	76	73,6	71,3
SOIRANS	89,5	87,7	86,9	84,1	81,3	79,2	76,4	74	71,7
CHOISEY	90,3	88,5	87,7	84,9	82,1	80	77,2	74,8	72,5
BERSAILLIN	93,4	91,6	90,8	88	85,2	83,1	80,3	77,9	75,6
ARLAY	93,6	91,8	91	88,2	85,4	83,3	80,5	78,1	75,8
BEAUREPAIRE	94,8	93	92,2	89,4	86,6	84,5	81,7	79,3	77
LE MIROIR	95,8	94	93,2	90,4	87,6	85,5	82,7	80,3	78
BEAUPONT	96,8	95	94,2	91,4	88,6	86,5	83,7	81,3	79
VAL DE SAONE	99,4	97,6	96,8	94	91,2	89,1	86,3	83,9	81,6
MÂCON CENTRE	92,8	91	90,2	87,4	84,6	82,5	79,7	77,3	75
FEILLENS	92,5	90,7	89,9	87,1	84,3	82,2	79,4	77	74,7
REPLONGES	92,5	90,7	89,9	87,1	84,3	82,2	79,4	77	74,7
ST-GENIS	96,9	95,1	94,3	91,5	88,7	86,6	83,8	81,4	79,1
BOURG NORD	95,1	93,3	92,5	89,7	86,9	84,8	82	79,6	77,3
VIRIAT	95,2	93,4	92,6	89,8	87	84,9	82,1	79,7	77,4
BOURG SUD	96,3	94,5	93,7	90,9	88,1	86	83,2	80,8	78,5
ST-MARTIN-DU-FRESNE	100,8	99	98,2	95,4	92,6	90,5	87,7	85,3	83
SYLANS SUD	101,5	99,7	98,9	96,1	93,3	91,2	88,4	86	83,7
BELLEGARDE	105,8	104	103,2	100,4	97,6	95,5	92,7	90,3	88
ELOISE	107,2	105,4	104,6	101,8	99	96,9	94,1	91,7	89,4
VIRY	111,4	109,6	108,8	106	103,2	101,1	98,3	95,9	93,6
LA CROIX-CHALON	101,1	99,3	98,5	95,7	92,9	90,8	88	85,6	83,3
GROISSIAT	102,8	101	100,2	97,4	94,6	92,5	89,7	87,3	85
PONT-D’AIN	97,6	95,8	95	92,2	89,4	87,3	84,5	82,1	79,8
AMBÉRIEU	99,1	97,3	96,5	93,7	90,9	88,8	86	83,6	81,3
PÉROUGES	100	98,2	97,4	94,6	91,8	89,7	86,9	84,5	82,2
BALAN	100	98,2	97,4	94,6	91,8	89,7	86,9	84,5	82,2
LA BOISE/MONTUEL	101,6	99,8	99	96,2	93,4	91,3	88,5	86,1	83,8
BEYNOST	102,4	100,6	99,8	97	94,2	92,1	89,3	86,9	84,6
LA COTIERE	102,3	100,5	99,7	96,9	94,1	92	89,2	86,8	84,5
LA BOISSE	103,9	102,1	101,3	98,5	95,7	93,6	90,8	88,4	86,1
