Moulis
0	Parages
0	0	La Molle
0	0	0	Sapiac
0	0	0	0	Beausoleil
0	0	0	0	0	Chaumes
0	0	0	0	0	0	ZI Nord
0	0	0	0	0	0	0	Montauban Nord
0	0	0	0	0	0	0	0	Péage de Montauban Nord
1,1	1,1	1,1	1,1	1,1	1,1	1,1	1,1	1,1	Caussade
2,4	2,4	2,4	2,4	2,4	2,4	2,4	2,4	2,4	1,3	Cahors sud
3,7	3,7	3,7	3,7	3,7	3,7	3,7	3,7	3,7	2,7	1,3	Cahors nord
5,3	5,3	5,3	5,3	5,3	5,3	5,3	5,3	5,3	4	2,6	1,3	Labastide Murat
6,8	6,8	6,8	6,8	6,8	6,8	6,8	6,8	6,8	5,4	4	2,8	1,4	Souillac
8,3	8,3	8,3	8,3	8,3	8,3	8,3	8,3	8,3	7	5,3	4,2	3,1	1,2	Péage de Gignac
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Martel
8,3	8,3	8,3	8,3	8,3	8,3	8,3	8,3	8,3	7	5,3	4,2	3,1	1,2	0	0,4	Nespouls
