La Fouillouse
0	Andrézieux-Bouthéon sud
0	0	Andrézieux-Bouthéon nord
0	0	0	Péage de Veauchette
0,7	0	0,7	0,7	Montbrison Montrond
1,5	0	1,5	1,5	0,6	Feurs Lentilly
5,9	0	5,9	5,9	5	4,3	Tour de Salvagny
5,9	0	5,9	5,9	5	4,3	0	Lentilly
5,9	0	5,9	5,9	5	4,3	0	0	Pont de Dorieux
5,9	0	5,9	5,9	5	4,3	0	0	0	L’Arbresle
0	0	0	0	0	0	1	1	1	1	Tarare est(péage en systEme ouvert)
5,9	0	5,9	5,9	5	4,3	0	0	0	0	0	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
4,5	0	4,5	4,5	3,7	2,9	0	0	0	0	0	0	Tarare est(péage en systEme fermé)
3,9	0	3,9	3,9	3	2,3	1,6	1,6	1,6	1,6	0	1,6	0,5	Tarare ouest
2,5	0	2,5	2,5	1,4	0,7	3,6	3,6	3,6	3,6	0	3,6	2,2	1,3	Balbigny
2,3	0	2,3	2,3	1,4	0,8	4,4	4,4	4,4	4,4	0	4,4	2,8	2,5	0,7	Saint-Germain-Laval
3,3	0	3,3	3,3	2,7	2,1	5,7	5,7	5,7	5,7	0	5,7	4,1	3,8	2	1,2	Noirétable
4,4	0	4,4	4,4	3,8	3,1	6,7	6,7	6,7	6,7	0	6,7	4,9	4,6	3,2	2,1	0,8	Thiers est
5,4	0	5,4	5,4	4,8	3,9	7,5	7,5	7,5	7,5	0	7,5	5,6	5,3	3,6	2,6	1,6	0,7	Thiers ouest
5,4	0	5,4	5,4	4,9	4,1	7,9	7,9	7,9	7,9	0	7,9	6,1	5,8	4	3,3	2,1	1	0,5	Lezoux
6,3	0	6,3	6,3	6,2	5,7	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,7	4,6	3,2	2,2	1,6	1	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
6,3	0	6,3	6,3	6,2	5,7	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,7	4,6	3,2	2,2	1,6	1	0	Clermont-Ferrand
6,3	0	6,3	6,3	6,2	5,7	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,7	4,6	3,2	2,2	1,6	1	0	0	Pont du Château
