MANZAT
1,1	VULCANIA-BROMONT
2,7	1,3	ST JULIEN / SANCY
4,3	3	1,4	USSEL EST
5,3	4,1	3,1	1	USSEL OUEST
7	5,3	4,4	2,6	1,4	EGLETONS
8,4	7,5	6	3,7	2,7	1	TULLE EST
8,8	7,8	6,4	4,4	3,4	1,4	0,5	TULLE NORD
10,2	9,2	8,1	5,7	4,6	2,7	1,3	0,9	ST GERMAIN LES VERGNES
