La Fouillouse
0	Andrézieux-Bouthéon sud
0	0	Andrézieux-Bouthéon nord
0	0	0	Péage de Veauchette
0,7	0	0,7	0,7	Montbrison Montrond
1,6	0	1,6	1,6	0,6	Feurs Lentilly
6,3	0	6,3	6,3	5,3	4,6	Tour de Salvagny
6,3	0	6,3	6,3	5,3	4,6	0	Lentilly
6,3	0	6,3	6,3	5,3	4,6	0	0	Pont de Dorieux
6,3	0	6,3	6,3	5,3	4,6	0	0	0	L’Arbresle
0	0	0	0	0	0	1	1	1	1	Tarare est(péage en systEme ouvert)
6,3	0	6,3	6,3	5,3	4,6	0	0	0	0	0	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
4,8	0	4,8	4,8	3,9	3,1	0	0	0	0	0	0	Tarare est(péage en systEme fermé)
4,1	0	4,1	4,1	3,2	2,4	1,6	1,6	1,6	1,6	0	1,6	0,5	Tarare ouest
2,6	0	2,6	2,6	1,4	0,7	3,6	3,6	3,6	3,6	0	3,6	2,3	1,3	Balbigny
2,4	0	2,4	2,4	1,4	0,8	4,7	4,7	4,7	4,7	0	4,7	3	2,6	0,7	Saint-Germain-Laval
3,5	0	3,5	3,5	2,9	2,2	6,1	6,1	6,1	6,1	0	6,1	4,4	4	2,1	1,2	Noirétable
4,7	0	4,7	4,7	4	3,3	7,2	7,2	7,2	7,2	0	7,2	5,2	4,9	3,4	2,2	0,8	Thiers est
5,8	0	5,8	5,8	5,1	4,1	8	8	8	8	0	8	6	5,7	3,8	2,7	1,7	0,7	Thiers ouest
5,8	0	5,8	5,8	5,2	4,4	8,4	8,4	8,4	8,4	0	8,4	6,5	6,2	4,2	3,5	2,2	1	0,5	Lezoux
6,3	0	6,3	6,3	6,2	6,1	9,6	9,6	9,6	9,6	0	9,6	8,4	8,2	6	4,9	3,4	2,3	1,7	1	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
6,3	0	6,3	6,3	6,2	6,1	9,6	9,6	9,6	9,6	0	9,6	8,4	8,2	6	4,9	3,4	2,3	1,7	1	0	Clermont-Ferrand
6,3	0	6,3	6,3	6,2	6,1	9,6	9,6	9,6	9,6	0	9,6	8,4	8,2	6	4,9	3,4	2,3	1,7	1	0	0	Pont du Château
